feature_id,geometry_type,coordinates,geometry_format
way/1119076342,LineString,"[[30.3972812, 59.9716939], [30.3972587, 59.9716696], [30.3972285, 59.971638]]","LINESTRING(59.9716939 30.3972812,59.9716696 30.3972587,59.971638 30.3972285)"
way/1119076343,LineString,"[[30.3976845, 59.9715331], [30.397713, 59.9715649], [30.3977368, 59.9715913]]","LINESTRING(59.9715331 30.3976845,59.9715649 30.397713,59.9715913 30.3977368)"
way/1119076344,LineString,"[[30.4223925, 59.9596113], [30.4223848, 59.9595199]]",
way/1119076345,LineString,"[[30.4218449, 59.9533031], [30.4219946, 59.9533016]]",
way/1119076346,LineString,"[[30.4225608, 59.9595272], [30.422569, 59.9596186]]",
way/1119076347,LineString,"[[30.422008, 59.9534139], [30.4218621, 59.9534168]]",
way/1119076348,LineString,"[[30.4189623, 59.9645723], [30.418833, 59.9646378]]",
way/1119076349,LineString,"[[30.4187108, 59.9645781], [30.4188411, 59.9645132]]",
way/1119076350,LineString,"[[30.418833, 59.9646378], [30.4187108, 59.9645781]]",
way/1119076351,LineString,"[[30.4190426, 59.9647399], [30.418833, 59.9646378]]",
way/1119076352,LineString,"[[30.418833, 59.9646378], [30.418601, 59.9647551], [30.4183423, 59.964886], [30.4182787, 59.9649195], [30.4176554, 59.9652356], [30.417239, 59.9654467], [30.4146303, 59.9667953], [30.4124006, 59.9679523]]","LINESTRING(59.9646378 30.418833,59.9647551 30.418601,59.964886 30.4183423,59.9649195 30.4182787,59.9652356 30.4176554,59.9654467 30.417239,59.9667953 30.4146303,59.9679523 30.4124006)"
way/1119076353,LineString,"[[30.4189623, 59.9645723], [30.4191724, 59.9646748]]",
way/1119076354,LineString,"[[30.4188411, 59.9645132], [30.4189623, 59.9645723]]",
way/1119076355,LineString,"[[30.4183719, 59.9647504], [30.418474, 59.964696], [30.4187108, 59.9645781]]","LINESTRING(59.9647504 30.4183719,59.964696 30.418474,59.9645781 30.4187108)"
way/1119087384,LineString,"[[30.0991502, 59.745752], [30.0996115, 59.7455214], [30.0998038, 59.7454279]]","LINESTRING(59.745752 30.0991502,59.7455214 30.0996115,59.7454279 30.0998038)"
way/1119178498,LineString,"[[30.4576482, 59.9697922], [30.457655, 59.9698831]]",
way/1119178499,LineString,"[[30.4580954, 59.9760276], [30.4581292, 59.9764996], [30.4581791, 59.9771956], [30.458227, 59.9778642]]","LINESTRING(59.9760276 30.4580954,59.9764996 30.4581292,59.9771956 30.4581791,59.9778642 30.458227)"
way/1119326268,LineString,"[[30.4207416, 59.9462032], [30.420772, 59.9463244], [30.4208036, 59.9464581], [30.4208703, 59.9467869], [30.4209008, 59.9469433]]","LINESTRING(59.9462032 30.4207416,59.9463244 30.420772,59.9464581 30.4208036,59.9467869 30.4208703,59.9469433 30.4209008)"
way/1119326269,LineString,"[[30.4197146, 59.9428138], [30.4197216, 59.9429387], [30.4197254, 59.9430012], [30.4199575, 59.9437266], [30.4201096, 59.9442017], [30.4201577, 59.944352], [30.4202802, 59.9447346], [30.4204912, 59.9453941], [30.4206863, 59.9460234], [30.4207416, 59.9462032]]","LINESTRING(59.9428138 30.4197146,59.9429387 30.4197216,59.9430012 30.4197254,59.9437266 30.4199575,59.9442017 30.4201096,59.944352 30.4201577,59.9447346 30.4202802,59.9453941 30.4204912,59.9460234 30.4206863,59.9462032 30.4207416)"
